Timestamp (s),Tag ID,Range_A0 (cm),Range_A1 (cm),Range_A2 (cm),Range_A3 (cm),Computed_X (cm),Computed_Y (cm),Computed_Z (cm)
20.872,0,0,65,160,242,158.92,155.93,90.16
20.946,1,0,54,149,248,187.40,145.31,112.41
21.026,0,3,70,158,241,72.09,186.77,134.01
21.117,1,4,54,147,254,83.03,185.88,132.84
21.198,0,9,79,159,239,70.20,186.31,131.81
21.277,1,12,57,142,264,87.81,186.69,128.78
21.609,0,18,86,156,229,69.25,180.91,129.08
21.688,1,22,63,135,254,88.71,180.43,125.09
22.249,0,30,94,153,217,68.06,173.25,124.97
22.335,1,36,71,125,245,90.98,171.72,118.04
22.897,0,40,106,155,203,62.58,165.56,121.40
22.990,1,52,80,118,265,100.66,172.51,103.56
23.544,0,49,113,156,193,59.48,158.53,118.36
23.625,1,65,82,115,253,102.92,163.23,99.35
24.178,0,58,121,157,188,56.71,152.97,113.06
24.259,1,79,92,111,245,104.24,153.47,90.50
24.826,0,74,121,153,188,61.85,145.84,104.17
24.919,1,98,102,100,238,110.48,137.71,80.42
25.472,0,96,122,132,195,76.84,132.45,87.79
25.553,1,120,108,82,235,123.97,118.41,74.34
26.117,0,121,127,107,228,105.38,125.22,64.05
26.197,1,143,116,62,237,140.45,98.92,71.12
26.760,0,143,132,86,231,123.00,106.33,58.75
26.860,1,162,124,48,258,160.29,90.08,65.57
27.345,0,163,136,68,235,139.84,90.29,58.12
27.423,1,178,130,37,257,168.84,77.05,67.25
27.987,0,179,140,53,238,153.04,77.00,60.24
28.071,1,192,134,27,256,175.78,65.91,70.09
28.621,0,192,143,40,241,163.86,66.15,63.82
28.699,1,204,138,18,270,186.58,59.75,69.46
29.279,0,203,145,29,241,171.22,56.47,68.39
29.360,1,216,141,12,268,190.12,51.47,71.43
29.914,0,212,147,21,243,177.03,49.63,71.02
29.998,1,226,145,5,269,193.50,43.58,72.56
30.556,0,221,151,13,243,181.10,41.64,73.22
30.639,1,235,148,1,265,194.40,36.95,73.99
31.201,0,227,153,6,244,184.17,35.91,75.15
31.296,1,242,150,7,263,195.70,37.29,72.47
31.855,1,247,152,13,261,196.47,38.26,70.51
32.480,0,233,158,3,246,186.57,31.42,74.60
32.563,1,252,155,17,258,196.61,37.55,68.72
33.123,0,238,159,7,246,187.45,31.82,73.08
33.202,1,257,156,21,258,198.23,38.16,66.95
33.776,0,239,158,4,248,188.85,30.68,74.09
33.859,1,256,154,20,257,197.71,38.30,68.41
34.410,0,234,152,7,246,186.88,35.25,75.00
34.492,1,249,147,13,251,193.52,37.17,74.48
35.043,0,226,139,19,247,184.87,48.27,74.92
35.129,1,238,140,2,247,189.27,35.78,79.43
35.706,0,216,117,52,249,181.14,76.22,73.25
35.787,1,226,117,21,249,187.57,56.62,82.46
36.348,0,205,96,73,253,179.55,97.43,78.74
36.433,1,218,92,41,253,187.93,77.30,89.02
36.985,0,207,79,90,256,184.55,110.92,88.33
37.055,1,214,74,59,255,188.44,92.68,96.12
