Timestamp (s),Tag ID,Range_A0 (cm),Range_A1 (cm),Range_A2 (cm),Range_A3 (cm),Computed_X (cm),Computed_Y (cm),Computed_Z (cm)
21.074,0,0,98,173,227,115.96,154.04,65.20
21.169,1,0,57,148,237,167.70,144.37,100.12
21.253,0,3,98,173,227,55.86,188.43,134.69
21.345,1,4,56,148,237,79.08,181.24,134.64
21.435,0,9,98,174,226,57.42,187.38,133.57
21.525,1,11,56,148,237,81.54,180.17,133.61
21.612,0,16,98,174,227,59.88,186.62,131.52
21.704,1,21,56,149,237,84.88,178.93,132.21
22.243,0,25,98,173,227,63.00,184.82,128.49
22.332,1,31,56,149,237,88.44,177.37,130.45
22.867,0,34,98,174,228,66.00,184.01,125.31
22.955,1,42,56,148,237,92.58,175.26,128.03
23.561,0,42,98,172,227,68.76,181.46,121.71
23.652,1,53,56,147,237,96.77,173.04,125.28
24.179,0,50,97,172,227,71.85,179.92,118.50
24.256,1,63,55,148,237,100.71,171.61,123.39
24.803,0,58,96,172,228,75.28,178.79,114.83
24.901,1,71,55,148,237,103.77,170.16,121.21
25.507,0,64,97,171,228,77.08,177.11,110.97
25.592,1,79,56,147,237,106.69,168.25,118.09
26.121,0,69,97,172,227,78.33,175.95,108.83
26.221,1,86,55,147,237,109.89,166.85,116.50
26.708,0,74,96,172,228,80.88,175.38,106.44
26.802,1,92,56,147,237,112.00,165.64,114.06
27.362,0,78,96,172,229,82.66,174.97,104.01
27.452,1,97,56,148,237,113.95,165.07,112.73
27.994,0,81,96,173,229,83.58,174.74,102.61
28.085,1,101,56,149,238,115.86,165.15,111.49
28.691,0,84,97,182,228,82.26,177.53,102.67
28.785,1,104,56,150,241,118.10,166.30,110.15
29.316,0,87,98,186,227,81.82,178.09,101.46
29.405,1,108,56,150,241,119.93,165.49,108.93
29.943,0,89,98,186,227,82.55,177.66,100.29
30.034,1,109,57,150,252,124.15,169.96,106.00
30.558,0,90,97,185,227,83.59,177.09,100.18
30.649,1,111,58,150,254,125.55,170.40,104.43
31.276,0,92,98,185,226,83.42,175.99,98.59
31.367,1,114,56,149,255,128.29,169.69,104.63
31.841,0,94,98,183,228,85.30,175.70,96.53
31.930,1,114,55,150,266,132.69,174.65,104.32
32.467,0,95,99,184,228,84.99,175.83,95.48
32.562,1,116,55,149,265,133.51,173.33,103.69
