Timestamp (Local),Tag ID,Tag Name,Range_A0 (cm),Range_A1 (cm),Range_A2 (cm),Range_A3 (cm),Computed_X (cm),Computed_Y (cm),Computed_Z (cm)
02:00:34,0,Left Wrist,0,181,181,168,86.39,69.31,122.68
02:00:34,1,Right Wrist,0,155,164,157,93.68,75.86,83.47
02:00:34,2,Left Knee,0,137,226,156,59.35,43.95,9.76
02:00:34,3,Right Knee,0,98,184,186,111.45,50.71,14.21
02:00:35,4,Head,0,168,211,183,71.00,36.01,101.43
02:00:35,5,Belly Button,0,153,184,178,93.35,52.40,96.39
02:00:35,0,Left Wrist,3,178,180,165,29.09,43.92,15.14
02:00:35,1,Right Wrist,4,155,164,157,58.74,60.20,21.02
02:00:35,2,Left Knee,1,137,226,156,47.16,42.93,13.40
02:00:35,3,Right Knee,2,98,183,186,103.37,49.26,16.44
02:00:35,5,Belly Button,3,154,183,178,50.57,37.09,13.24
02:00:36,0,Left Wrist,10,179,180,162,29.06,46.76,16.10
02:00:36,1,Right Wrist,11,161,163,158,50.66,56.28,19.59
02:00:36,2,Left Knee,4,137,225,157,48.06,43.35,13.55
02:00:36,3,Right Knee,8,99,183,185,102.51,49.78,16.60
02:00:36,4,Head,5,176,221,187,25.52,22.97,8.09
02:00:36,5,Belly Button,9,152,179,178,52.81,37.78,13.53
02:00:37,0,Left Wrist,18,186,182,159,23.01,48.57,16.65
02:00:37,1,Right Wrist,23,158,157,158,54.37,57.58,20.09
02:00:37,2,Left Knee,7,135,225,158,48.37,43.08,13.46
02:00:37,3,Right Knee,16,98,183,185,102.62,49.77,16.57
02:00:37,4,Head,15,180,223,188,21.58,21.51,7.57
02:00:37,5,Belly Button,19,151,177,179,53.63,37.11,13.33
02:00:37,0,Left Wrist,28,188,184,152,23.48,55.33,18.95
02:00:37,1,Right Wrist,36,156,152,161,55.29,54.99,19.26
02:00:37,2,Left Knee,11,135,225,159,48.59,42.87,13.40
02:00:37,3,Right Knee,25,98,182,184,102.64,50.80,16.91
02:00:37,4,Head,28,182,223,189,21.26,21.85,8.40
02:00:37,5,Belly Button,29,151,175,180,53.34,36.10,13.00
02:00:38,0,Left Wrist,37,195,185,160,14.30,46.74,16.06
02:00:38,1,Right Wrist,48,155,149,163,55.57,53.16,18.68
02:00:38,2,Left Knee,16,134,225,160,48.88,42.60,13.32
02:00:38,3,Right Knee,34,98,181,185,104.15,50.81,16.96
02:00:38,4,Head,44,185,225,191,23.67,17.52,34.14
02:00:39,0,Left Wrist,45,193,186,163,16.26,44.98,16.07
02:00:39,1,Right Wrist,60,154,146,165,56.05,51.50,18.23
02:00:39,2,Left Knee,19,134,225,159,48.65,42.84,13.39
02:00:39,3,Right Knee,42,97,181,186,105.02,50.30,16.80
02:00:39,4,Head,59,187,224,191,26.12,16.20,51.97
02:00:39,5,Belly Button,41,152,176,181,52.03,34.81,12.58
02:00:39,0,Left Wrist,53,191,188,166,21.10,42.91,26.52
02:00:39,1,Right Wrist,71,152,143,167,58.56,50.92,18.54
02:00:39,2,Left Knee,23,0,225,160,32.57,48.60,16.37
02:00:39,3,Right Knee,50,98,182,187,104.87,49.28,16.50
02:00:39,4,Head,74,188,227,193,30.52,14.85,67.68
02:00:39,5,Belly Button,51,155,175,181,49.29,34.26,12.56
02:00:40,0,Left Wrist,60,0,187,168,54.49,48.06,17.08
02:00:40,1,Right Wrist,81,149,141,169,64.25,52.17,21.53
02:00:40,2,Left Knee,28,133,225,159,48.71,42.81,13.38
02:00:40,3,Right Knee,57,98,185,188,103.34,47.22,15.78
02:00:40,4,Head,87,189,230,193,35.10,16.43,80.13
02:00:40,5,Belly Button,61,153,175,182,53.15,35.38,14.35
02:00:40,0,Left Wrist,66,191,188,170,25.58,36.79,50.73
02:00:40,1,Right Wrist,91,146,139,169,71.44,55.62,28.12
02:00:41,2,Left Knee,31,0,224,162,34.11,47.21,16.00
02:00:41,3,Right Knee,64,99,185,188,103.20,47.23,15.80
02:00:41,4,Head,101,190,227,193,41.20,19.50,92.80
02:00:41,5,Belly Button,70,154,176,182,56.45,36.13,27.00
02:00:41,0,Left Wrist,72,189,188,170,29.65,37.34,56.41
02:00:41,1,Right Wrist,98,145,138,171,76.13,55.42,38.35
02:00:41,2,Left Knee,33,133,223,161,50.83,43.36,13.59
02:00:41,3,Right Knee,68,100,186,189,102.96,46.20,15.51
02:00:41,4,Head,112,190,226,194,47.16,21.64,102.21
02:00:41,5,Belly Button,77,153,176,182,60.15,36.32,36.79
02:00:42,0,Left Wrist,77,188,190,169,32.61,38.91,60.54
02:00:42,1,Right Wrist,106,145,136,172,80.93,56.79,48.39
02:00:42,2,Left Knee,36,135,223,161,50.74,43.43,13.61
02:00:42,3,Right Knee,72,100,186,189,102.97,46.21,15.51
02:00:42,4,Head,123,191,228,193,51.44,24.69,111.55
02:00:42,5,Belly Button,84,152,177,182,64.02,37.19,44.76
02:00:42,0,Left Wrist,81,189,191,169,33.49,39.16,65.22
02:00:42,1,Right Wrist,113,146,135,172,84.82,59.45,55.77
02:00:42,2,Left Knee,36,133,222,161,51.65,43.87,13.76
02:00:42,3,Right Knee,75,100,186,189,102.98,46.21,15.51
