Timestamp (s),Tag ID,Range_A0 (cm),Range_A1 (cm),Range_A2 (cm),Range_A3 (cm),Computed_X (cm),Computed_Y (cm),Computed_Z (cm)
20.097,0,0,120,125,165,97.29,95.16,147.37
20.170,0,5,120,122,165,50.40,51.35,140.48
20.421,0,15,120,119,166,54.15,54.70,138.67
21.724,0,28,122,119,165,57.11,59.26,137.08
22.366,0,43,120,119,165,62.27,63.55,135.69
22.992,0,54,127,119,166,63.05,67.99,132.42
23.654,0,63,124,125,166,65.04,68.75,133.56
24.285,0,62,126,137,169,60.37,64.54,135.31
24.917,0,58,128,149,174,55.10,58.44,136.90
25.561,0,50,135,162,179,46.19,51.79,137.97
26.197,0,42,145,174,184,36.20,45.92,138.08
26.849,0,35,155,182,188,27.63,41.71,137.64
27.499,0,29,161,190,190,21.31,38.02,139.65
28.137,0,21,169,200,194,13.54,32.48,142.10
28.766,0,14,176,209,197,7.09,27.61,144.96
29.417,0,9,181,217,200,2.47,23.23,147.33
30.056,0,4,186,223,203,-1.05,19.07,149.22
30.687,0,0,189,227,205,-8.02,35.55,102.40
31.344,0,0,192,229,203,-11.29,37.25,103.90
31.985,0,12,187,228,194,-4.11,25.61,150.60
32.622,0,31,192,230,176,-9.45,42.23,153.55
33.211,0,55,199,231,150,-13.61,65.07,162.56
33.911,0,79,213,233,123,-19.12,89.40,170.83
34.548,0,101,223,234,99,-20.17,111.44,178.25
35.139,0,119,232,236,79,-20.42,129.86,183.66
35.838,0,133,239,236,63,-19.15,144.78,186.15
36.475,0,141,243,234,50,-16.44,155.37,186.30
37.051,0,145,241,230,58,-15.32,153.35,186.07
37.754,0,138,233,225,72,-13.14,142.91,183.76
38.393,0,127,227,223,93,-15.58,127.95,177.36
38.985,0,116,222,219,109,-17.46,116.53,161.93
39.607,0,108,215,216,120,-15.33,107.76,153.42
40.260,0,101,209,213,130,-12.88,99.99,144.48
40.959,0,95,206,211,139,-11.73,93.21,135.90
41.545,0,91,202,208,146,-8.72,88.03,129.46
42.183,0,89,199,205,155,-5.99,82.62,119.43
42.817,0,91,195,196,160,1.36,81.63,110.38
43.471,0,101,181,182,163,17.83,83.66,102.19
44.109,0,132,174,160,167,39.26,96.51,81.40
44.737,0,152,170,132,177,63.98,104.55,68.96
45.387,0,173,169,107,207,93.77,102.36,47.40
46.031,0,193,169,85,214,115.95,113.18,44.93
46.668,0,205,169,68,232,138.42,114.13,41.42
47.310,0,216,169,53,258,165.37,112.57,40.46
47.946,0,224,167,40,280,187.75,113.44,46.85
48.582,0,229,167,30,294,198.86,116.66,51.68
49.229,0,233,167,22,308,206.08,118.40,53.72
49.855,0,236,166,15,320,210.71,119.14,54.85
50.491,0,239,166,10,307,207.41,125.91,59.37
51.151,0,240,163,9,294,203.90,128.96,63.51
51.791,0,234,156,15,281,198.71,125.18,66.66
52.429,0,223,153,25,265,188.17,119.89,66.64
53.073,0,213,150,37,249,173.49,114.49,64.82
53.708,0,204,148,46,236,159.62,111.94,65.07
54.349,0,196,147,52,225,148.57,111.66,67.88
54.999,0,190,144,60,216,139.67,109.85,71.33
55.635,0,184,141,65,209,133.63,108.73,76.49
56.267,0,181,140,71,202,127.58,108.85,79.82
56.921,0,181,142,84,196,117.49,107.86,76.24
57.554,0,179,138,83,197,119.82,105.67,79.87
58.194,0,177,122,88,208,128.89,91.66,84.24
58.851,0,175,101,100,217,139.11,76.28,97.54
59.490,0,176,80,112,227,162.20,74.39,149.86
60.132,0,177,62,121,235,166.35,61.20,151.02
60.784,0,177,47,130,241,168.14,49.83,152.69
61.419,0,176,36,134,248,169.08,40.54,148.63
62.062,0,174,28,140,253,168.78,33.15,149.01
62.675,0,173,21,144,257,168.82,27.37,149.16
63.308,0,175,16,150,260,170.38,22.84,151.86
63.966,0,175,14,153,264,171.20,19.67,151.84
64.595,0,177,11,155,267,172.79,16.97,152.01
65.249,0,176,5,156,268,171.69,13.63,152.04
65.901,0,175,0,157,268,173.74,20.92,156.63
66.538,0,172,8,158,263,168.44,15.43,153.75
67.193,0,165,20,151,252,161.84,25.16,153.74
67.828,0,156,37,150,238,150.95,35.40,160.81
68.462,0,147,51,152,224,139.12,42.95,168.49
69.117,0,141,62,154,213,130.02,49.00,173.81
69.703,0,137,71,155,205,123.19,54.07,177.00
70.335,0,133,81,155,197,115.91,59.81,178.72
70.996,0,131,89,155,188,109.88,65.89,180.06
71.633,0,131,95,156,184,106.92,69.55,182.92
72.263,0,132,100,155,179,104.73,74.21,183.75
72.921,0,128,103,155,176,100.12,74.98,181.04
73.567,0,128,105,159,174,98.34,75.42,185.38
74.205,0,127,106,165,172,95.78,74.49,190.18
74.855,0,127,108,164,171,94.98,75.93,189.67
75.491,0,126,109,170,170,92.62,74.54,194.30
76.124,0,124,112,165,169,90.86,76.72,189.00
76.777,0,128,114,165,167,92.17,79.87,192.11
77.415,0,142,119,145,168,103.96,92.80,184.09
78.051,0,158,127,120,176,119.84,106.52,168.90
78.715,0,177,133,94,199,116.42,97.83,77.71
79.344,0,193,137,73,206,133.53,107.37,75.36
79.985,0,208,143,58,212,146.45,115.77,71.87
80.566,0,219,148,45,218,158.05,122.37,71.09
81.264,0,225,150,33,222,168.25,127.65,76.41
81.899,0,232,154,23,224,175.59,134.31,79.92
82.503,0,238,157,19,228,181.07,137.19,79.09
83.139,0,248,161,16,226,189.02,145.59,88.15
83.771,0,244,157,15,226,185.39,142.02,85.26
84.437,0,229,158,38,208,175.89,147.48,113.98
85.067,0,225,170,64,189,165.93,162.00,139.85
85.714,0,214,176,84,179,155.37,163.40,157.64
86.345,0,207,181,101,173,148.38,162.93,174.84
87.646,0,198,185,128,168,137.48,155.80,204.04
88.265,0,183,186,134,164,124.19,147.59,207.17
88.928,0,169,183,143,167,113.70,133.92,214.43
89.568,0,152,178,150,172,100.78,117.18,216.08
90.206,0,136,173,174,194,87.01,85.79,235.72
90.853,0,122,168,184,202,74.94,68.01,233.78
91.496,0,112,161,200,207,65.46,51.96,233.64
92.131,0,103,158,204,210,59.89,43.97,228.02
92.792,0,94,156,206,213,55.05,37.33,221.17
93.427,0,86,154,215,214,48.82,30.14,217.79
94.065,0,81,153,220,217,45.79,24.39,215.56
94.715,0,76,153,217,220,44.71,21.82,209.72
95.347,0,72,151,215,221,44.61,20.31,204.08
95.986,0,70,148,216,224,45.65,16.47,201.46
96.617,0,67,147,222,227,43.79,10.91,200.95
97.269,0,64,147,225,232,42.61,4.95,198.48
97.904,0,65,146,231,235,42.45,0.34,201.05
98.495,0,69,146,231,238,44.76,-1.22,204.35
99.135,0,75,145,230,242,49.11,-2.86,208.57
99.778,0,77,144,225,247,52.84,-5.17,206.57
100.439,0,76,145,218,249,54.00,-4.71,202.02
101.076,0,76,146,219,242,52.12,1.68,205.82
101.719,0,73,145,219,243,51.34,-0.45,201.44
102.539,0,69,145,220,241,48.87,-0.27,197.83
103.008,0,70,146,217,241,49.61,1.34,198.03
103.652,0,73,145,215,240,51.90,3.74,200.42
104.271,0,74,154,208,232,48.09,15.50,203.51
104.928,0,76,155,209,231,48.10,16.72,206.74
105.540,0,78,157,208,227,47.55,21.28,209.01
106.177,0,77,157,205,233,49.04,17.41,206.46
106.881,0,78,155,205,228,49.66,21.28,206.59
107.553,0,75,153,213,220,45.33,23.04,206.67
108.166,0,74,152,224,214,40.95,23.03,210.34
108.753,0,74,151,234,208,37.20,23.77,213.74
109.421,0,74,151,225,203,38.71,30.39,209.10
110.014,0,78,146,215,198,45.15,37.19,205.19
110.663,0,86,141,206,194,53.45,44.05,204.75
111.360,0,95,131,192,191,66.00,51.29,199.00
111.970,0,103,126,181,188,74.60,58.39,194.55
112.597,0,110,121,171,185,82.08,64.64,188.72
113.216,0,120,115,165,184,91.98,69.32,190.05
113.890,0,120,118,167,179,89.09,71.95,191.88
114.535,0,104,123,175,179,74.84,64.63,185.69
115.144,0,85,139,188,183,54.28,56.19,181.53
115.819,0,69,150,200,187,37.78,48.64,174.75
116.439,0,55,155,209,189,20.61,42.33,132.84
117.061,0,40,158,216,193,16.30,35.00,144.46
117.729,0,26,163,225,195,9.79,28.37,152.65
118.363,0,15,166,230,198,6.17,22.13,153.77
119.047,0,6,168,235,200,3.59,16.81,154.80
119.634,0,0,170,239,201,1.74,23.42,161.21
120.285,0,2,168,237,202,3.09,13.87,154.93
120.940,0,20,159,228,197,11.19,23.68,155.42
121.540,0,41,156,220,185,17.65,38.06,163.09
122.185,0,64,167,218,161,13.99,60.32,176.30
122.835,0,92,187,221,130,5.03,88.57,187.22
123.489,0,116,211,222,104,-6.37,114.96,185.11
124.151,0,138,226,225,82,-9.53,136.64,190.17
124.738,0,157,238,230,66,-11.31,153.83,196.71
125.423,0,172,246,234,52,-11.21,168.15,200.39
126.017,0,184,253,236,40,-10.99,180.38,200.40
126.665,0,197,263,238,31,-11.93,192.59,200.79
127.301,0,205,270,239,23,-12.57,201.49,198.32
127.967,0,210,278,237,16,-13.03,208.94,193.32
128.638,0,216,270,223,25,-11.00,209.10,171.04
129.219,0,223,254,201,48,10.90,214.16,142.94
129.875,0,229,240,172,77,40.70,215.83,126.08
130.529,0,232,230,140,102,98.15,213.32,176.85
131.181,0,237,223,111,126,113.66,212.47,143.87
131.838,0,263,217,89,145,140.05,216.59,135.14
132.414,0,266,211,69,161,151.56,209.53,119.40
133.097,0,268,206,51,173,159.52,201.68,105.63
133.740,0,270,203,38,184,166.78,195.31,96.14
134.399,0,273,201,25,193,173.32,188.82,87.81
134.990,0,277,198,15,201,179.82,182.85,83.11
135.642,0,279,195,6,207,183.71,176.78,79.95
136.276,0,279,193,0,212,204.39,189.31,139.90
